Date,GLRE_returns
2007-06-01,-4.9768
2007-07-01,-6.79095
2007-08-01,-5.61905
2007-09-01,2.3208900000000003
2007-10-01,2.26825
2007-11-01,4.77339
2007-12-01,-4.325819999999999
2008-01-01,-2.7898
2008-02-01,-5.98714
2008-03-01,-2.10526
2008-04-01,-5.5914
2008-05-01,12.243739999999999
2008-06-01,15.98174
2008-07-01,-9.88626
2008-08-01,-0.48544
2008-09-01,2.3902400000000004
2008-10-01,-40.35255
2008-11-01,-16.453670000000002
2008-12-01,24.187379999999997
2009-01-01,-6.4665099999999995
2009-02-01,19.17695
2009-03-01,10.29006
2009-04-01,-3.06825
2009-05-01,6.58915
2009-06-01,4.90909
2009-07-01,5.89255
2009-08-01,-0.16367
2009-09-01,2.73224
2009-10-01,-0.74468
2009-11-01,29.95713
2009-12-01,-2.72165
2010-01-01,2.3738900000000003
2010-02-01,4.84472
2010-03-01,5.37125
2010-04-01,-4.085459999999999
2010-05-01,-5.119190000000001
2010-06-01,3.7479400000000003
2010-07-01,2.3819
2010-08-01,-10.5855
2010-09-01,8.49957
2010-10-01,14.148679999999999
2010-11-01,-2.03081
2010-12-01,-4.18156
2011-01-01,5.44573
2011-02-01,2.37
2011-03-01,-2.5224599999999997
2011-04-01,-0.21269000000000002
2011-05-01,-6.785080000000001
2011-06-01,0.19055
2011-07-01,-5.8197
2011-08-01,-9.41034
2011-09-01,-7.53455
2011-10-01,8.63067
2011-11-01,5.81447
2011-12-01,-0.71309
2012-01-01,8.44951
2012-02-01,-8.25867
2012-03-01,4.58599
2012-04-01,1.09622
2012-05-01,-0.56225
2012-06-01,2.6655900000000003
2012-07-01,-7.317069999999999
2012-08-01,3.05603
2012-09-01,1.93575
2012-10-01,3.15152
2012-11-01,-9.40071
2012-12-01,-0.21616999999999997
2013-01-01,4.20277
2013-02-01,-0.29106
2013-03-01,1.95997
2013-04-01,0.6544
2013-05-01,-1.70662
2013-06-01,1.40554
2013-07-01,7.78638
2013-08-01,1.5506799999999998
2013-09-01,5.9217900000000006
2013-10-01,8.263010000000001
2013-11-01,10.457939999999999
2013-12-01,-0.8820899999999999
2014-01-01,-4.6870400000000005
2014-02-01,-2.1164
2014-03-01,4.29253
2014-04-01,-2.95732
2014-05-01,-0.43983999999999995
2014-06-01,3.94446
2014-07-01,-1.76078
2014-08-01,5.71694
2014-09-01,-5.26162
2014-10-01,0.12342
2014-11-01,-2.86595
2014-12-01,3.58503
2015-01-01,-3.79786
2015-02-01,4.20248
2015-03-01,-2.84143
2015-04-01,-4.43396
2015-05-01,0.8226399999999999
2015-06-01,-4.79765
2015-07-01,-4.62804
2015-08-01,-8.339319999999999
2015-09-01,-12.62745
2015-10-01,-1.4362700000000002
2015-11-01,-6.14754
2015-12-01,-9.21883
2016-01-01,3.7947599999999997
2016-02-01,10.19567
2016-03-01,1.82243
2016-04-01,-1.19321
2016-05-01,-5.52717
2016-06-01,-0.8849600000000001
2016-07-01,2.33135
2016-08-01,3.97479
2016-09-01,-4.70863
2016-10-01,-2.64188
2016-11-01,14.32161
2016-12-01,0.21978000000000003
2017-01-01,-0.8771899999999999
2017-02-01,-1.3274299999999999
2017-03-01,-0.89686
