Date,Bridgewater All Weather 12% Strategy
2009-05-01,0.02
2009-06-01,0.61
2009-07-01,2.55
2009-08-01,2.46
2009-09-01,2.44
2009-10-01,0.36
2009-11-01,4.75
2009-12-01,-2.77
2010-01-01,0.64
2010-02-01,1.34
2010-03-01,2.45
2010-04-01,3.51
2010-05-01,0.31
2010-06-01,1.42
2010-07-01,3.27
2010-08-01,5.02
2010-09-01,3.21
2010-10-01,1.81
2010-11-01,-3.54
2010-12-01,0.17
2011-01-01,-0.49
2011-02-01,2.14
2011-03-01,0.16
2011-04-01,4.63
2011-05-01,1.86
2011-06-01,0.07
2011-07-01,6.25
2011-08-01,0.98
2011-09-01,-2.88
2011-10-01,4.1
2011-11-01,-1.03
2011-12-01,2.51
2012-01-01,4.73
2012-02-01,0.99
2012-03-01,-1.65
2012-04-01,2.28
2012-05-01,0.97
2012-06-01,0.67
2012-07-01,3.85
2012-08-01,0.79
2012-09-01,1.26
2012-10-01,-0.51
2012-11-01,2.01
2012-12-01,0.17
2013-01-01,-0.68
2013-02-01,0.21
2013-03-01,1.11
2013-04-01,2.97
2013-05-01,-5.69
2013-06-01,-7.26
2013-07-01,2.83
2013-08-01,-1.68
2013-09-01,3.02
2013-10-01,3.03
2013-11-01,-1.29
2013-12-01,-0.6
2014-01-01,0.02
2014-02-01,4.17
2014-03-01,0.33
2014-04-01,2.11
2014-05-01,2.65
2014-06-01,1.46
2014-07-01,-0.62
2014-08-01,2.61
2014-09-01,-4.21
2014-10-01,1.31
2014-11-01,1.28
2014-12-01,-2.53
2015-01-01,3.48
2015-02-01,1.31
2015-03-01,-0.45
2015-04-01,1.55
2015-05-01,-1.4
2015-06-01,-3.78
2015-07-01,-0.59
2015-08-01,-4.89
2015-09-01,-2.33
2015-10-01,4.08
2015-11-01,-1.84
2015-12-01,-3.3
2016-01-01,-1.3
2016-02-01,0.57
2016-03-01,3.58
2016-04-01,2.18
2016-05-01,0.41
2016-06-01,4.35
2016-07-01,2.87
2016-08-01,-0.1
2016-09-01,0.9
2016-10-01,-1.93
2016-11-01,-2.22
2016-12-01,1.97
2017-01-01,1.44
2017-02-01,2.24
2017-03-01,-0.09
