Date,Open,High,Low,Close,Volume,Adj Close
1985-01-02,21.200001,21.200001,21.200001,21.200001,0,4.387082
1985-01-03,21.190001000000002,21.190001000000002,21.190001000000002,21.190001000000002,0,4.385013
1985-01-04,21.17,21.17,21.17,21.17,0,4.3808739999999995
1985-01-07,21.219998999999998,21.219998999999998,21.219998999999998,21.219998999999998,0,4.39122
1985-01-08,21.25,21.25,21.25,21.25,0,4.397429
1985-01-09,21.309998999999998,21.309998999999998,21.309998999999998,21.309998999999998,0,4.409845
1985-01-10,21.57,21.57,21.57,21.57,0,4.463649
1985-01-11,21.629998999999998,21.629998999999998,21.629998999999998,21.629998999999998,0,4.476065
1985-01-14,21.83,21.83,21.83,21.83,0,4.517453
1985-01-15,21.92,21.92,21.92,21.92,0,4.536077
1985-01-16,22.120001000000002,22.120001000000002,22.120001000000002,22.120001000000002,0,4.577465
1985-01-17,22.18,22.18,22.18,22.18,0,4.589881
1985-01-18,22.27,22.27,22.27,22.27,0,4.608505
1985-01-21,22.540001,22.540001,22.540001,22.540001,0,4.6738230000000005
1985-01-22,22.59,22.59,22.59,22.59,0,4.68419
1985-01-23,22.82,22.82,22.82,22.82,0,4.731882
1985-01-24,22.85,22.85,22.85,22.85,0,4.738103
1985-01-25,22.91,22.91,22.91,22.91,0,4.7505440000000005
1985-01-28,22.950001,22.950001,22.950001,22.950001,0,4.758839
1985-01-29,23.110001,23.110001,23.110001,23.110001,0,4.792016
1985-01-30,23.209999,23.209999,23.209999,23.209999,0,4.8127510000000004
1985-01-31,23.26,23.26,23.26,23.26,0,4.823119
1985-02-01,23.139999,23.139999,23.139999,23.139999,0,4.798236
1985-02-04,23.309998999999998,23.309998999999998,23.309998999999998,23.309998999999998,0,4.833487
1985-02-05,23.43,23.43,23.43,23.43,0,4.85837
1985-02-06,23.469998999999998,23.469998999999998,23.469998999999998,23.469998999999998,0,4.866664
1985-02-07,23.6,23.6,23.6,23.6,0,4.8936209999999996
1985-02-08,23.65,23.65,23.65,23.65,0,4.903988
1985-02-11,23.540001,23.540001,23.540001,23.540001,0,4.8811800000000005
1985-02-12,23.559998999999998,23.559998999999998,23.559998999999998,23.559998999999998,0,4.885326
1985-02-13,23.74,23.74,23.74,23.74,0,4.922651
1985-02-14,23.709999,23.709999,23.709999,23.709999,0,4.91643
1985-02-15,23.629998999999998,23.629998999999998,23.629998999999998,23.629998999999998,0,4.899841
1985-02-19,23.6,23.6,23.6,23.6,0,4.8936209999999996
1985-02-20,23.65,23.65,23.65,23.65,0,4.903988
1985-02-21,23.5,23.5,23.5,23.5,0,4.872885
1985-02-22,23.35,23.35,23.35,23.35,0,4.841782
1985-02-25,23.219998999999998,23.219998999999998,23.219998999999998,23.219998999999998,0,4.814825
1985-02-26,23.34,23.34,23.34,23.34,0,4.839708
1985-02-27,23.280001000000002,23.280001000000002,23.280001000000002,23.280001000000002,0,4.827267
1985-02-28,23.360001,23.360001,23.360001,23.360001,0,4.8438550000000005
1985-03-01,23.559998999999998,23.559998999999998,23.559998999999998,23.559998999999998,0,4.885326
1985-03-04,23.48,23.48,23.48,23.48,0,4.868738
1985-03-05,23.48,23.48,23.48,23.48,0,4.868738
1985-03-06,23.370001000000002,23.370001000000002,23.370001000000002,23.370001000000002,0,4.845929
1985-03-07,23.26,23.26,23.26,23.26,0,4.823119
1985-03-08,23.290001,23.290001,23.290001,23.290001,0,4.82934
1985-03-11,23.26,23.26,23.26,23.26,0,4.823119
1985-03-12,23.280001000000002,23.280001000000002,23.280001000000002,23.280001000000002,0,4.827267
1985-03-13,23.139999,23.139999,23.139999,23.139999,0,4.798236
1985-03-14,23.129998999999998,23.129998999999998,23.129998999999998,23.129998999999998,0,4.796163
1985-03-15,23.08,23.08,23.08,23.08,0,4.785794999999999
1985-03-18,23.0,23.0,23.0,23.0,0,4.769207
1985-03-19,23.110001,23.110001,23.110001,23.110001,0,4.792016
1985-03-20,23.030001000000002,23.030001000000002,23.030001000000002,23.030001000000002,0,4.775427
1985-03-21,23.049999,23.049999,23.049999,23.049999,0,4.779574
1985-03-22,23.040001,23.040001,23.040001,23.040001,0,4.777501
1985-03-25,22.950001,22.950001,22.950001,22.950001,0,4.758839
1985-03-26,22.93,22.93,22.93,22.93,0,4.7546919999999995
1985-03-27,23.02,23.02,23.02,23.02,0,4.773354
1985-03-28,23.01,23.01,23.01,23.01,0,4.77128
1985-03-29,23.1,23.1,23.1,23.1,0,4.789942
1985-04-01,23.18,23.18,23.18,23.18,0,4.806531
1985-04-02,23.18,23.18,23.18,23.18,0,4.806531
1985-04-03,23.1,23.1,23.1,23.1,0,4.789942
1985-04-04,23.110001,23.110001,23.110001,23.110001,0,4.792016
1985-04-08,23.02,23.02,23.02,23.02,0,4.773354
1985-04-09,23.01,23.01,23.01,23.01,0,4.77128
1985-04-10,23.15,23.15,23.15,23.15,0,4.80031
1985-04-11,23.280001000000002,23.280001000000002,23.280001000000002,23.280001000000002,0,4.827267
1985-04-12,23.34,23.34,23.34,23.34,0,4.839708
1985-04-15,23.4,23.4,23.4,23.4,0,4.852149
1985-04-16,23.51,23.51,23.51,23.51,0,4.874959
1985-04-17,23.59,23.59,23.59,23.59,0,4.891547
1985-04-18,23.58,23.58,23.58,23.58,0,4.889474
1985-04-19,23.629998999999998,23.629998999999998,23.629998999999998,23.629998999999998,0,4.899841
1985-04-22,23.559998999999998,23.559998999999998,23.559998999999998,23.559998999999998,0,4.885326
1985-04-23,23.57,23.57,23.57,23.57,0,4.8874
1985-04-24,23.540001,23.540001,23.540001,23.540001,0,4.8811800000000005
1985-04-25,23.66,23.66,23.66,23.66,0,4.906062
1985-04-26,23.65,23.65,23.65,23.65,0,4.903988
1985-04-29,23.469998999999998,23.469998999999998,23.469998999999998,23.469998999999998,0,4.866664
1985-04-30,23.379998999999998,23.379998999999998,23.379998999999998,23.379998999999998,0,4.848001999999999
1985-05-01,23.299999,23.299999,23.299999,23.299999,0,4.831414
1985-05-02,23.309998999999998,23.309998999999998,23.309998999999998,23.309998999999998,0,4.833487
1985-05-03,23.440001000000002,23.440001000000002,23.440001000000002,23.440001000000002,0,4.860444
1985-05-06,23.450001,23.450001,23.450001,23.450001,0,4.8625169999999995
1985-05-07,23.540001,23.540001,23.540001,23.540001,0,4.8811800000000005
1985-05-08,23.559998999999998,23.559998999999998,23.559998999999998,23.559998999999998,0,4.885326
1985-05-09,23.809998999999998,23.809998999999998,23.809998999999998,23.809998999999998,0,4.937166
1985-05-10,24.059998999999998,24.059998999999998,24.059998999999998,24.059998999999998,0,4.989005000000001
1985-05-13,23.120001000000002,23.120001000000002,23.120001000000002,23.120001000000002,0,4.801074
1985-05-14,23.1,23.1,23.1,23.1,0,4.796921
1985-05-15,23.17,23.17,23.17,23.17,0,4.811457
1985-05-16,23.23,23.23,23.23,23.23,0,4.8239160000000005
1985-05-17,23.41,23.41,23.41,23.41,0,4.861295
1985-05-20,23.6,23.6,23.6,23.6,0,4.90075
1985-05-21,23.6,23.6,23.6,23.6,0,4.90075
1985-05-22,23.49,23.49,23.49,23.49,0,4.877908000000001
1985-05-23,23.450001,23.450001,23.450001,23.450001,0,4.869601
1985-05-24,23.51,23.51,23.51,23.51,0,4.882061
1985-05-28,23.52,23.52,23.52,23.52,0,4.884137
1985-05-29,23.549999,23.549999,23.549999,23.549999,0,4.8903669999999995
1985-05-30,23.58,23.58,23.58,23.58,0,4.896597
1985-05-31,23.68,23.68,23.68,23.68,0,4.917363
1985-06-03,23.76,23.76,23.76,23.76,0,4.933976
1985-06-04,23.860001,23.860001,23.860001,23.860001,0,4.9547419999999995
1985-06-05,24.0,24.0,24.0,24.0,0,4.983814
1985-06-06,24.0,24.0,24.0,24.0,0,4.983814
1985-06-07,23.91,23.91,23.91,23.91,0,4.965123999999999
1985-06-10,23.879998999999998,23.879998999999998,23.879998999999998,23.879998999999998,0,4.958894
1985-06-11,23.83,23.83,23.83,23.83,0,4.948512
1985-06-12,23.75,23.75,23.75,23.75,0,4.931899
1985-06-13,23.57,23.57,23.57,23.57,0,4.89452
1985-06-14,23.73,23.73,23.73,23.73,0,4.927746
1985-06-17,23.700001,23.700001,23.700001,23.700001,0,4.9215160000000004
1985-06-18,23.74,23.74,23.74,23.74,0,4.929822
1985-06-19,23.709999,23.709999,23.709999,23.709999,0,4.923592
1985-06-20,23.620001000000002,23.620001000000002,23.620001000000002,23.620001000000002,0,4.904903
1985-06-21,23.709999,23.709999,23.709999,23.709999,0,4.923592
1985-06-24,23.719998999999998,23.719998999999998,23.719998999999998,23.719998999999998,0,4.925669
1985-06-25,23.790001,23.790001,23.790001,23.790001,0,4.940205000000001
1985-06-26,23.83,23.83,23.83,23.83,0,4.948512
1985-06-27,23.940001000000002,23.940001000000002,23.940001000000002,23.940001000000002,0,4.971354
1985-06-28,24.059998999999998,24.059998999999998,24.059998999999998,24.059998999999998,0,4.996273
1985-07-01,24.17,24.17,24.17,24.17,0,5.019116
1985-07-02,24.24,24.24,24.24,24.24,0,5.033652
1985-07-03,24.23,24.23,24.23,24.23,0,5.031575
