Date,Open,High,Low,Close,Volume,Adj Close
1980-03-01,290.0,310.0,260.0,260.0,5400,260.0
1980-04-01,260.0,295.0,245.0,275.0,13300,275.0
1980-05-01,275.0,340.0,275.0,320.0,6600,320.0
1980-06-01,320.0,340.0,305.0,305.0,7600,305.0
1980-07-01,305.0,360.0,305.0,340.0,8100,340.0
1980-08-01,340.0,405.0,340.0,380.0,8500,380.0
1980-09-01,380.0,415.0,380.0,385.0,4700,385.0
1980-10-01,385.0,440.0,385.0,420.0,7800,420.0
1980-11-01,420.0,450.0,400.0,430.0,8800,430.0
1980-12-01,450.0,490.0,420.0,425.0,7700,425.0
1981-01-01,425.0,445.0,425.0,430.0,4700,430.0
1981-02-01,430.0,500.0,425.0,485.0,8400,485.0
1981-03-01,485.0,505.0,475.0,480.0,10000,480.0
1981-04-01,485.0,535.0,485.0,515.0,12300,515.0
1981-05-01,515.0,540.0,515.0,520.0,4000,520.0
1981-06-01,520.0,540.0,510.0,510.0,12200,510.0
1981-07-01,510.0,525.0,470.0,485.0,10000,485.0
1981-08-01,485.0,535.0,485.0,500.0,5700,500.0
1981-09-01,500.0,505.0,460.0,460.0,6100,460.0
1981-10-01,460.0,525.0,460.0,505.0,6300,505.0
1981-11-01,505.0,590.0,505.0,575.0,5500,575.0
1981-12-01,575.0,605.0,555.0,560.0,7200,560.0
1982-01-01,560.0,570.0,505.0,510.0,12000,510.0
1982-02-01,510.0,530.0,510.0,515.0,9400,515.0
1982-03-01,515.0,530.0,465.0,480.0,10000,480.0
1982-04-01,480.0,525.0,480.0,510.0,11900,510.0
1982-05-01,510.0,535.0,505.0,505.0,11500,505.0
1982-06-01,505.0,520.0,470.0,495.0,16800,495.0
1982-07-01,495.0,510.0,475.0,475.0,9000,475.0
1982-08-01,475.0,505.0,430.0,485.0,13600,485.0
1982-09-01,485.0,565.0,485.0,550.0,16100,550.0
1982-10-01,550.0,635.0,540.0,610.0,49500,610.0
1982-11-01,610.0,710.0,610.0,690.0,19700,690.0
1982-12-01,690.0,790.0,690.0,775.0,16800,775.0
1983-01-01,775.0,800.0,755.0,765.0,17000,765.0
1983-02-01,770.0,850.0,765.0,830.0,24600,830.0
1983-03-01,860.0,985.0,860.0,965.0,24300,965.0
1983-04-01,910.0,990.0,890.0,975.0,18400,975.0
1983-05-01,975.0,1005.0,960.0,985.0,13800,985.0
1983-06-01,985.0,1005.0,910.0,910.0,18700,910.0
1983-07-01,910.0,970.0,905.0,950.0,16700,950.0
1983-08-01,950.0,1040.0,950.0,1020.0,23100,1020.0
1983-09-01,1035.0,1270.0,1035.0,1240.0,17000,1240.0
1983-10-01,1245.0,1310.0,1240.0,1310.0,10100,1310.0
1983-11-01,1320.0,1380.0,1305.0,1350.0,11800,1350.0
1983-12-01,1350.0,1410.0,1310.0,1310.0,24100,1310.0
1984-01-01,1310.0,1385.0,1280.0,1325.0,19500,1325.0
1984-02-01,1325.0,1355.0,1250.0,1280.0,17500,1280.0
1984-03-01,1280.0,1305.0,1240.0,1240.0,7500,1240.0
1984-04-01,1240.0,1280.0,1220.0,1250.0,25900,1250.0
1984-05-01,1250.0,1375.0,1250.0,1290.0,15100,1290.0
1984-06-01,1290.0,1315.0,1260.0,1260.0,12100,1260.0
1984-07-01,1260.0,1280.0,1235.0,1240.0,9600,1240.0
1984-08-01,1240.0,1315.0,1230.0,1290.0,12800,1290.0
1984-09-01,1290.0,1330.0,1290.0,1305.0,20800,1305.0
1984-10-01,1305.0,1330.0,1300.0,1300.0,13600,1300.0
1984-11-01,1300.0,1325.0,1280.0,1280.0,15200,1280.0
1984-12-01,1280.0,1305.0,1265.0,1275.0,14400,1275.0
1985-01-01,1275.0,1425.0,1275.0,1395.0,19700,1395.0
1985-02-01,1400.0,1520.0,1400.0,1490.0,45600,1490.0
1985-03-01,1490.0,1850.0,1475.0,1815.0,44000,1815.0
1985-04-01,1825.0,1855.0,1728.0,1850.0,25400,1850.0
1985-05-01,1850.0,1865.0,1810.0,1860.0,28800,1860.0
1985-06-01,1860.0,2160.0,1835.0,2150.0,46200,2150.0
1985-07-01,2195.0,2235.0,2055.0,2110.0,30700,2110.0
1985-08-01,2120.0,2125.0,1973.0,2040.0,12200,2040.0
1985-09-01,2040.0,2120.0,2005.0,2120.0,26300,2120.0
1985-10-01,2120.0,2670.0,2100.0,2620.0,38500,2620.0
1985-11-01,2610.0,2630.0,2475.0,2625.0,25000,2625.0
1985-12-01,2625.0,2630.0,2470.0,2470.0,23600,2470.0
1986-01-01,2470.0,2470.0,2220.0,2255.0,31000,2255.0
1986-02-01,2310.0,2760.0,2310.0,2760.0,65600,2760.0
1986-03-01,2800.0,3210.0,2800.0,3120.0,41500,3120.0
1986-04-01,3075.0,3140.0,2800.0,2910.0,30000,2910.0
1986-05-01,2880.0,2880.0,2660.0,2860.0,25800,2860.0
1986-06-01,2800.0,3005.0,2690.0,2975.0,24500,2975.0
1986-07-01,2995.0,3065.0,2700.0,2825.0,24100,2825.0
1986-08-01,2860.0,3050.0,2780.0,2900.0,25300,2900.0
1986-09-01,2950.0,2950.0,2625.0,2625.0,27000,2625.0
1986-10-01,2625.0,2875.0,2620.0,2875.0,17600,2875.0
1986-11-01,2880.0,2925.0,2740.0,2740.0,32500,2740.0
1986-12-01,2740.0,2830.0,2715.0,2820.0,59500,2820.0
1987-01-01,2915.0,3135.0,2915.0,3100.0,38500,3100.0
1987-02-01,3100.0,3450.0,3095.0,3360.0,36400,3360.0
1987-03-01,3360.0,3630.0,3340.0,3520.0,39200,3520.0
1987-04-01,3510.0,3530.0,3350.0,3380.0,29900,3380.0
1987-05-01,3350.0,3510.0,3340.0,3410.0,17800,3410.0
1987-06-01,3425.0,3520.0,3360.0,3500.0,21600,3500.0
1987-07-01,3500.0,3970.0,3420.0,3960.0,26500,3960.0
1987-08-01,3910.0,4200.0,3860.0,3990.0,30900,3990.0
1987-09-01,3900.0,4220.0,3750.0,4220.0,36200,4220.0
1987-10-01,4180.0,4270.0,2675.0,3325.0,207600,3325.0
1987-11-01,3150.0,3150.0,2835.0,2900.0,40100,2900.0
1987-12-01,2900.0,3100.0,2750.0,2950.0,41200,2950.0
1988-01-01,3150.0,3200.0,3000.0,3030.0,31700,3030.0
1988-02-01,3100.0,3200.0,3050.0,3150.0,19700,3150.0
1988-03-01,3150.0,3450.0,3100.0,3425.0,34600,3425.0
1988-04-01,3500.0,3800.0,3450.0,3775.0,42400,3775.0
1988-05-01,3700.0,3950.0,3625.0,3925.0,37500,3925.0
1988-06-01,3925.0,4150.0,3900.0,4150.0,17400,4150.0
1988-07-01,4250.0,4425.0,4250.0,4375.0,7000,4375.0
